word,pos,synonym
พูด,v,กระพอก|กล่าว|คุย|จรรจา|จา|จำนรรจ์|จำนรรจา|เจรจา|ดำรัส|ตรัส|บอก|ประภาษ|ปราศรัย|เปรย|ฝอย|พรอก|พร้อง|ภณะ|ภาษ|รับสั่ง|เล่า|วทะ|ว่า|เว้า|สนทนา|อื้น|เอิ้น|เอื้อน|เอ่ย|เอื้อนเอ่ย
ทวี,v,คูณ|เพิ่มพูน|พอกพูน
สี่,n,สองคู่|จตุ
ยี่สิบ,n,ซาว|พิศ|เพส|วีสะ
กกต.,n,คณะกรรมการการเลือกตั้ง
มหาวิทยาลัยขอนแก่น,n,มข.|มอดินแดง|มหาลัยขอนแก่น|ม.ขอนแก่น
จุฬาลงกรณ์มหาวิทยาลัย,n,จุฬา|จุฬาฯ|จุฬาลงกรณมหาวิทยาลัย
มกราคม,n,ม.ค.|มกรา
กุมภาพันธ์,n,ก.พ.|กุมภา
มีนาคม,n,มี.ค.|มีนา
เมษายน,n,เม.ย.|เมษา
พฤษภาคม,n,พ.ค.|พฤษภา
มิถุนายน,n,มิ.ย.|มิถุนา
กรกฎาคม,n,ก.ค.|กรกฎา
สิงหาคม,n,ส.ค.|สิงหา
กันยายน,n,ก.ย.|กันยา
ตุลาคม,n,ต.ค.|ตุลา
พฤศจิกายน,n,พ.ย.|พฤศจิกา
ธันวาคม,n,ธ.ค.|ธันวา
เวลา,n,กาล|คราว|ครั้ง|ครู่|เพลา|ยาม|หน
กลางคืน,n,รัชนี|รัตติ|รัตติกาล|ราตรี|นิศา|นิศากาล
กลางวัน,n,ทิวากร|ทิวากาล
วัน,n,ทิวา|ทิน|ทิพา|ทิวะ
เลือด,n,โลหิต|รุธิระ|รุเธียร|โรหิต
แดง,adj,ชาด|ประวาลวรรณ|มันปู|รุธิระ|รุเธียร|โรหิต|กษาย|มณีราค|โศณะ|หง
ขาว,adj,ชุณห|ชุษณะ|ซีด|ด่อน|เผือก|นวล|พบู|พิศุทธ์|วิศุทธ์|วิศุทธิ์|วิสุทธ์|วิสุทธิ์|ศุกล|ศุภร|เศวต|เศวตร|สกาว|สอ|อรชุน
ดำ,adj,กัณห|กาฬ|จะกรุน|จะกรูน|ทะมึน|นิล|ศยาม|ศยามล|สามะ|สามล|อสิตะ
ใหญ่,adj,กว้าง|มหันต์|มหา|มหึมา|พิบูล|ไพศาล|มโหฬาร
อ้วน,adj,อ้วนจ้ำม่ำ|อวบอ้วน|อ้วนท้วน|อ้วนพี|จ้ำม่ำ|ท้วม|เจ้าเนื้อ|อวบ|อวบอั๋น|อวบอัด
ผอม,adj,ซูบ|ผอมบาง|ซูบผอม|ผ่ายผอม|ผอมโซ|ซูบซีด
อร่อย,adj,กระป่ำ|กระเอบ|แซบ|ถูกปาก|นัว|รสดี|รสเด็ด|เลิศรส|สาทุ|เสาวรส|เอมโอช|เอร็ดอร่อย|โอชะ|โอชา
เสือก,v,จุ้น|จุ้นจ้าน|เจ๋อ|เจ๋อเจ๊อะ|ละลาบละล้วง|สอดรู้|สอดรู้สอดเห็น|สะเหล่อ|สะเออะ|สาระแน|สู่รู้|เสนอหน้า|เสือกกะโหลก|แส่|ยื่นจมูก
ผล,n,ผลลัพธ์|ผลผลิต|ผลงาน|สัมฤทธิผล|ความสำเร็จ|ผลพวง|ผลสืบเนื่อง|ผลกระทบ|ผลตอบแทน|ผลประโยชน์|กำไร|รายได้|ดอกผล|อานิสงส์|วิบาก|มรรคผล|คุณ|คุณูปการ|คุณประโยชน์|ผลสะท้อน|ผลแห่งกรรม|ผลตามมา|ผลเกิด|ผลสำเร็จ|ดอกผล|ลูกไม้|พฤกษผล|ผลไม้
มัน,pron,แก|เขา|หล่อน|ตัวมัน|สิ่งนั้น
เหลือ,v,เกิน|ค้าง|คงเหลือ|ตกค้าง|เกินเลย|ส่วนเกิน
กำ,v,ถือ|คว้า|จับ|ยึด|รวบ|กำมือ
กำหนด,v,ระบุ|บัญญัติ|ลิขิต|วางไว้|ขีดไว้|ตั้งไว้|วางกฎ|ลิขิตไว้
เกี่ยว,v,พัว|ข้อง|ติด|พาด|เนื่อง|โยง|พ่วง|เชื่อมโยง|พัวพัน|เกี่ยวข้อง|เนื่องด้วย|เกาะเกี่ยว
ไม่,adv,มิ|บ่|ไป่|เปล่า|ห่อน|บมิ|หาไม่|ห่อนมี|บ่มี|ใช่ว่า|มิแม้น|หามิได้|มิได้|บ่ได้|ไป่ได้|มิเคย|บ่เคย
ใน,prep,ภายใน|ข้างใน
นี้,pron,นี่|ตรงนี้|ที่นี้
อยู่,v,คา|ดำรง|พำนัก|อาศัย|คงอยู่|ดำรงอยู่|ตั้งอยู่|พักอยู่|ค้างอยู่
สอง,num,คู่|ยี่|ทวิ|คู่กัน|ทั้งคู่
มัก,adv,ชอบ|โน้ม|นิยม|เคย|บ่อย
พึ่ง,v,อิง|พิง|อาศัย|เกาะ|พักพิง|พึ่งพา|อิงอาศัย|ฝากตัว
แต่,conj,ทว่า|กระนั้น|แต่ว่า|หากแต่
กาย,n,ร่าง|ตน|สรีระ|เรือนร่าง|ร่างกาย|ตัว|สังขาร|รูปกาย
ตน,pron,ตัว|กาย|ตัวเอง|ตนเอง|อัตตา
คิด,v,นึก|ตรึก|ครุ่น|ไตร่|ดำริ|ตรอง|พิจารณา|ครุ่นคิด|ไตร่ตรอง|ขบคิด|ตริตรอง|คำนึง
เห็น,v,มอง|พบ|เจอ|ยล|ทัศนา|ประจักษ์|มองเห็น|แจ้งใจ|สังเกต
เตือน,v,เตือนใจ|เตือนสติ|เตือนความจำ|บอก|กำชับ|สั่งสอน|ทักท้วง|ท้วงติง|ตักเตือน|แจ้ง|แจ้งเตือน|ห้าม|สะกิด|ดักคอ|ขู่|ปราม|สำทับ|จี้|ย้ำเตือน|เน้น|กล่าวเตือน|ออกตัวเตือน|พร่ำเตือน
เรื่อย,adj,เนืองนิตย์|สม่ำเสมอ|ติดต่อ|นิรันดร์|ต่อเนื่อง|ประดัง|เนิบนาบ|เอื่อย|เฉื่อยชา|ละมุนละไม|เลื่อนไหล|เนื่อง|เรื่อยเฉื่อย|ไหลเลื่อน
เฉื่อย,adj,เนิบนาบ|เชื่องช้า|อืดอาด|เอื่อยเฉื่อย|ยืดยาด|ถ่วง|เฉื่อยชา|เกียจคร้าน|เฉยเมย|เนือย|ละเลย|นิ่งนอน|อืด|นิ่งสนิท
เคียว,n,จันทร์เสี้ยว|ขอ|เครื่องมือเกี่ยว|งอ|ศาสตรา|อาวุธ|มีด|เสี้ยว|กริช
ใบ,n,พฤกษาพรรณ|ผกา|พุ่ม|กิ่งก้าน|ปราง|อัน|ชิ้น|ดวง|ลูก|หน่วย
เฉี่ยว,v,เฉียด|ถาก|กราย|โฉบเฉี่ยว|ปราดเปรียว|โฉบ|ปาด|ถากถาง|ต้อง|กวัดแกว่ง|ปราดเปรียว|คมคาย|โดดเด่น|พิศมัย|ฉวย|ตะปบ
กังหัน,n,จักรหมุน|วงล้อ|ใบพัด|กง|ใบตองพัด|เครื่องกำเนิดไฟฟ้า|ระหัด|กังหันน้ำ|กังหันลม|จักรพรรดิ|นาฬิกาชีวิต
หัน,v,ผิน|เบน|บ่าย|เหลียว|หมุน|พลิก|เปลี่ยน|หันเห|โอน|เฉียง|ปิ่น|คล้อย
ใบข้าว,n,เรียวใบ|ปลายเรียว|ใบเขียว|เขียวขจี|แผ่นใบ|รวงใบ|กาบใบ|แผ่นใบ|ใบธง|ใบแก่|ใบอ่อน
น้าว,v,เหนี่ยว|ดึง|รั้ง|ฉุด|กระชาก|ดึงดูด|โน้ม|โอน|ก้ม|น้อม|เอน|เหนี่ยวนำ|ฉุดรั้ง|โน้มเอียง
ระหัด,n,เครื่องวิดน้ำ|กังหันน้ำ|ระหัดฉุด|เครื่องกวิดน้ำ|วิดวารี|สูบน้ำ|รางวิด|วิด|ตัก|สูบ|ชัก|ฉุด
นบ,v,กราบ|ไหว้|วันทา|อัญชลี|นมัสการ|ประนม|ก้ม|คารวะ|บูชา|สักการะ|ภักดี|น้อม|วันทนา|นอบน้อม|นมาส|ศิโรราบ
ขัง,v,กัก|กักบริเวณ|กุม|คุม|จำ|จอง|กักด่าน|ล้อม|คุมขัง|คุมตัว|จองจำ|จำกัด|ผนึก|พันธนา|อาศรม|นิโรธ|พันธ
ระลอก,n,คลื่น|กระเพื่อม|ลอน|ริ้ว|เกลียว|ระลอกคลื่น|ฟอง|ห้วง|ชั้น|สาย|ชุด|ระลอกกาลคลื่นกระเพื่อม|พรายน้ำ|ละออง
นอง,v,ท่วม|เจิ่ง|เอ่อ|ขัง|ท้น|เปรอะ|ล้น|หลั่ง|อาบ|พรั่ง|ไหล|ซึม|นองเนือง|ชลนอง|ฉ่ำ|ดาษ
ใส,adj,กระจ่าง|โปร่ง|บริสุทธิ์|สะอาด|แวววาว|กระจ่างตา|ปลอดโปร่ง|ชัด|แจ่มแจ้ง|กระจ่างแจ้ง|ตรง|เปิดเผย|สว่าง|กระจ่างใจ|ผ่อง|ผุดผ่อง|สุกใส|แวว|ผ่องแผ้ว|กระจ่างรุ่ง
ร่ม,n,กลด|ฉัตร|จ้อง|เครื่องกำบัง|เครื่องกั้น|ร่มเย็น|ร่มรื่น|ปกคลุม|คลี่|กาง|บัง|ร่มเงา|ร่มไม้|ร่มโพธิ์|ร่มไทร|ชายคา|ความเย็น
บัง,v,กั้น|ปิด|กาง|คลุม|พราง|ปิดกั้น|สกัด|บดบัง|กำบัง|บด|กางกั้น|ซ่อน|เร้น|อาศัย|ม่าน|ปราการ|เกราะ
แพง,adj,ราคาสูง|ราคาแพง|มูลค่าสูง|สูงค่า|ราคาสูงลิ่ว|สิ้นเปลือง|ฟุ่มเฟือย|หวง|รัก|แหน|ถนอม|โปรด|สุดที่รัก|เทิดทูน|สูงส่ง|ล้ำค่า|หาได้ยาก|เลอค่า|ประเมินค่าไม่ได้|สมราคา
พวย,v,พุ่ง|ฉีด|พ่น|พลุ่ง|ทะลัก|พวยพุ่ง|พ่นออก|ไหลหลาก|ปาก|ช่อง|ท่อ|รู|ลำ|สาย|ทาง|ละออง|ธาร
หยั่ง,v,วัด|คำนวณ|สำรวจ|ตรวจ|หยั่งลง|จุ่ม|ดิ่ง|หยั่งหา|รู้|คาด|หยั่งรู้|หยั่งเห็น|วิเคราะห์|เข้าใจ|สัมผัส|หยั่งลึก|พิเคราะห์|สืบ
สัน,n,แนว|สันปันน้ำ|คม|ขอบ|โหนก|คัน|ลอน|สันนูน|ยอด|แกน|โครง|เหลี่ยม|ทิว|เทือก|สันฐาน|สันหลัง|เส้น|แถว|ระแหง|เหลี่ยมมุม|ฐาน
วา,n,ช่วง|มาตรา|ระยะ|ศอก|วจี|วาจา|พจน์|ถ้อย|คำ|โวหาร|สาร|ปราชญ์|ภาษา|วจน|วาที|พจนา
ย่ำ,v,ก้าว|เหยียบ|เดิน|ย่าง|ย่างก้าว|ดำเนิน|ทัศนาจร|ย่ำเท้า|เหยียบย่ำ|กระทืบ|บด|ทับ|ขยี้|เหยียบย่ำใจ|ย่ำยี|ตอกย้ำ|ซ้ำ|ย่ำค่ำ|ย่ำราตรี|เวียน
ตาม,v,ติดตาม|ไล่|ไล่กวด|ดำเนินตาม|สืบ|ติดตามตัว|คล้อยตาม|จี้|เห็นพ้อง|สอดคล้อง|คล้อย|อนุโลม|ยึด|ประพฤติตาม|จำนน|อนุวัติ|ดำเนินรอย|สืบเนื่อง|เงา|ดุจ|น้อม
ชื่น,adj,เปรม|ปรีดา|สุข|อภิรมย์|เกษม|สมใจ|เบิกบาน|ปลื้ม|ฉ่ำ|สด|โปร่ง|รื่น|แจ่ม|ฟื้น|แช่ม|สบาย|อิ่มเอม|รื่นรมย์|โสมนัส|แช่มชื่น|ปีติ|สราญ
เนื้อ,n,มังสะ|ก้อน|กาย|มังสา|ชิ้น|เนื้อตัว|สาระ|แก่น|เนื้อความ|สารัตถะ|เนื้อหา|ประเด็น|เนื้องาน|นวล|ผิว|ละมุน
เสื้อ,n,อาภรณ์|พัสตราภรณ์|ภูษา|เครื่องนุ่งห่ม|ฉลององค์|พัสตร์|เครื่องแต่งตัว|เสื้อผ้า|เครื่องแต่งกาย|อาสน์|ชุด|เครื่องบน|พัสตร|อาภรณ์กาย|ภูษาสวม|วิภรณ์|เครื่องห่ม
ผ้า,n,พัสตร์|ภูษา|พัสตราภรณ์|ผืน|สิ่งทอ|อาภรณ์|ผ้าทอ|ใย|ด้าย|ไหม|ฝ้าย|ลินิน|ผ้าเนื้อดี|พัสตรา|ภูษามาศ|พัตราภรณ์|กัมพล|แพร|สาหร่าย|วิภรณ์
กลีบ,n,แฉก|ซีก|แผ่น|ใบ|ชั้น|ปีก|รอยแยก|เสี้ยว|ชิ้น|แผ่นบาง|รอยพับ|เกสร|ช่อ|กรอง|ดวง|พรรณ|มาลี|ผกา|บุษบา|โกสุม
ผี,n,วิญญาณ|ดวงวิญญาณ|อสุรกาย|อมนุษย์|ภูต|ปีศาจ|เปรต|สัมภเวสี|ปิศาจ|ทิพย|อารักษ์|เจ้าที่|ผีสาง|นางไม้|กุมภัณฑ์|เวตาล|ทิพยวิญญาณ|จอมปิศาจ|ภูติ|อสูร|พราย|พรายน้ำ
โสน,n,ผกาเหลือง|บุษบงเหลือง|มาลีสีทอง|พฤกษาน้ำ|ปทุมทอง|บุปผาสีจำปา|แสงทอง|ดวงเหลือง|พรรณไม้ริมน้ำ|ทองดอก|สุวรรณบุปผา
ราย,n,แถว|แนว|พราย|กระจาย|เรียง|เว้น|คน|ตัว|ประดา|หน่วย|อัน|จำแนก|สดับ|ลำดับ|ฉบับ
โสนราย,n,ผกาทอง|เรียงเคียง|ทอดแนว|สลับสี|แถวระย้า|เรียงราย|ทอดสลับ|มาลีสีเหลือง|บุษบงเหลือง|ทองริมน้ำ|สุวรรณบุปผา|พฤกษาน้ำ|ทองสลับลำน้ำ|สายสลับทอง|บุปผาเรียง|พรรณไม้ริมชล
นา,n,เกษตร|กสิกรรม|ท้องนา|ทุ่ง|เขตเพาะปลูก|ไร่นา|พื้นที่เพาะปลูก|ธรณี|ปฐพี|ภพ|ภาค|พื้นดิน|พื้นราบ|ถิ่น|เกษตรเขต|ท้องทุ่ง|พสุธา|แดนไถ|ทุ่งรวงทอง|เกษตรสถาน
ปลิว,v,ว่อน|ลอย|สะบัด|ละลิ่ว|พัด|ฟุ้ง|ไหว|โผ|เหิน|ระเหย|กระเด็น|หลุดลอย|เฉี่ยว|โลด|ล่อง|ลอยละล่อง|โชย|ปลิวไสว|ตลบ
ว่าย,v,แหวก|ลอย|ดำ|ผุด|โลด|โต้|ล่อง|วน|เลื้อย|กระดิก|ตะเกียกตะกาย|ตีน้ำ|พริ้ว|วารีลีลา|แหวกว่าย|ธารล่อง|นทีจร|สัญจรชล|ร่อน
ฟ้า,n,นภา|นภดล|เวหา|อัมพร|คคนางค์|ทิฆัมพร|หาว|โพยม|เวหาส|สวรรค์|สรวง|นภาลัย|ชั้นฟ้า|เบื้องบน|นภากาศ|อัมพรา|อากาศ|ดารกะ|รัชชะ|อมรสถาน
ฟ่อง,v,ฟู|พอง|ฟูฟ่อง|พองโต|โปร่ง|พองลม|ฟุ้ง|ละออง|ฟุ้งกระจาย|ฟุ้งเฟื่อง|โชย|กระจาย|แผ่|ฟูเฟื่อง|ระยับ|ตลบ|ลอยละล่อง|พร่าง
ทอง,n,สุวรรณ|มาศ|กาญจน์|หิรัญ|สิขี|ชาติตระกูล|สุพรรณ|อร่าม|เหลืองอร่าม|สุกปลั่ง|อำพัน|แสงทอง|รัศมี|สุวรรณพรรณ|กาญจนา|พรรณราย|สุวรรณมาศ|รัตนมณี|เหลืองละออ
ผีเสื้อ,n,มาลีบิน|แมลงภู่|แมลงปอ|แมลงปีกสวย|ภมร|ปีกบาง|บุษบงร่อน|ปีกระยับ|ผกาโผ|ร่อนเริง|ร่อนลม|แมลงแสนสวย|พรรณราย|ผกาลอย|ปีกสลับสี|ร่ายรำลม|นภาลีลา
แพงพวย,n,บุษบาหลากสี|มาลีห้ากลีบ|พรรณไม้พื้นถิ่น|ผกาแก้ว|มวลบุปผา|พฤกษาทนแดด|ไม้ดอกริมทาง|พรรณไม้น้ำ|สุวรรณบุปผา|พรรณไม้จิ๋ว
ทำนบ,n,เขื่อน|คัน|คันกั้นน้ำ|ฝาย|ทำนบดิน|กำแพงน้ำ|แนวกั้นชล|สันเขื่อน|แนวคัน|ชลมารคกั้น|ปราการน้ำ|ขอบน้ำ|เครื่องกั้น|แนวกั้น|สันนูน|ธรณีกั้น|คันดิน
ระเรื่อย,adj,ค่อยเคลื่อน|เลื่อนไหล|ล่องไหล|ระย้า|เคลื่อนคล้อย|ทยอย|ลอยละล่อง|ลาม|ทอด|ระนาบ|สืบ|แผ่|ลัดเลาะ|เรื่อยเปื่อย|ลอยเรื่อย|ทอดทิว|เฉื่อย|ล่องลอย|ระริน|รวยริน|ละมุนละไม
