word,pos,synonym
พระอิศวร,n,ศิวะ|ศุลี|มหาเทพ|สยมภู|ภูเตศวร|จันทรเศขร|ศังกร
พระนารายณ์,n,วิษณุ|จักรปาณี|จักรี|ธราธร|ธราธาร
พระอินทร์,n,โกสีย์|โกสินทร์|เทพบดี|พันตา|พันเนตร|เพชรปาณี|เพชรายุธ|มฆวัน|มหินท์|มเหนทร์|มัฆวา|มัฆวาน|วชิรหัตถ์|วชิราวุธ|วัชรปาณี|วัชรินทร์|วัชรี|วัชเรนทร์|วาสพ|ศักรินทร์|ศักเรนทร์|สวรรคบดี|สหัสนัยน์|สหัสเนตร|สักกะ|สุชัมบดี|สุรบดี|สุรินทร์|สุเรนทร์|อมรบดี|อมรราช|อมรินทร์|อมเรนทร์|อมเรศ|อมเรศวร
ครุฑ,n,กาศยปิ|เวนไตย|สุบรรณ|ครุตมาน|สิตามัน|รักตปักษ์|เศวตโรหิต|สุวรรณกาย|คคเนศวร|ขเคศวร|นาคนาศนะ|สุเรนทรชิต|นาคานดก|นาคานตกะ|ปันนคนาสน์|วิษณุรถ
ยักษ์,n,ยักษา|ยักษี|ยักษิณี|ยักข์|ยักขินี|อสูร|อสุรา|อสุรี|อสุเรศ|กุมภัณฑ์|แทตย์|ทานพ|รากษส|ราพณ์|ราพณาสูร
นักบวช,n,มุนี|ฤษี|ฤๅษี|ดาบส|นักพรต|นักสิทธิ์|นิครนถ์|บรรพชิต|บาทหลวง|ปริพาชก|ภิกขุ|ภิกษุ|โยคี|หลวงจีน
นักปราชญ์,n,ธีระ|เธียร|บัณฑิต|ปราชญ์|ปัญญาชน|พหูสูต|เมธาวี|เมธี|วิญญู
ผู้เชี่ยวชาญ,n,กูรู|เซียน|ผู้รู้|ผู้สันทัดกรณี
เชี่ยวชาญ,adj,เก่ง|เก๋า|โกวิท|คร่ำหวอด|จัดเจน|ชาญ|ช่ำชอง|ชำนิ|ชำนิชำนาญ|ชำนาญ|ถนัด|สันทัด
ฉลาด,adj,โกวิท|โกศล|คมคาย|จินดาหรา|ฉลาดเฉลียว|เฉียบแหลม|ชาญฉลาด|ทันคน|ธีระ|เธียร|ประทักษ์|ประพิณ|ประวีณ|ปราดเปรื่อง|ปวีณ|พยัต|พฤทธ์|พิทูร|วิจักขณ์|วิจักษณ์|วิทูร|วิสารทะ|หลักแหลม|หัวดี|หัวไว|หัวแหลม|อัจฉริยะ
โง่,adj,กำเลา|กินแกลบกินรำ|กินหญ้า|ขี้เท่อ|เขลา|งั่ง|งี่เง่า|โง่เขลา|โง่งม|โง่เง่า|โง่เง่าเต่าตุ่น|เฉาโฉด|โฉด|โฉดเฉา|ซื่อบื้อ|เซ่อ|เซอะ|เซอะซะ|ทึบ|ทึ่ม|ปัญญาทึบ|ปัญญาอ่อน|ปัญญาอับ|มนท์|โมมูห์|โมมูหะ|สมองกลวง|สมองขี้เลื่อย|สมองทึบ|หัวขี้เลื่อย|หัวทึบ
ขี้เหนียว,adj,ขี้ตืด|ขี้หวง|งก|ตระหนี่|มัจฉระ|มัตสระ
ประหยัด,adj,กระเบียดกระเสียร|กระเหม็ดกระแหม่|เขม็ดแขม่|จำกัดจำเขี่ย|มัธยัสถ์|อดออม
ฟุ่มเฟือย,adj,ใจเติบ|ใจใหญ่ใจโต|ฟุ้งเฟ้อ|มือเติบ|สิ้นเปลือง|สุรุ่ยสุร่าย|หน้าใหญ่ใจโต|อีฉุยอีแฉก|อีลุ่ยฉุยแฉก|อีหลุยฉุยแฉก
เอื้อเฟื้อเผื่อแผ่,adj,ใจกว้าง|ใจดี|ใจบุญ|ใจป้ำ|มีน้ำใจ|อารี|อารีอารอบ|โอบอ้อมอารี
ช้าง,n,กุญชร|กรี|กริน|กริณี|กรินี|กิริณี|กิรินี|กรินทร์|กเรนทร|กเรนทร์|กเรณุ|กเรณุกา|คช|คชสาร|คชา|คชาชาติ|คชาธาร|คชินทร์|คเชนทร์|เจ่ง|ดำรี|ดำไร|ดมไร|ทันติน|ทันตี|ทนดี|ทวิป|นรการ|นาค|นาคี|นาคินทร์|นาเคนทร์|นาเคศ|นาเคศวร|พลาย|พัง|พารณ|พารณะ|พาฬ|มาตงค์|มาตังคะ|สาง|สาร|สินธุระ|สีดอ|หัตถี|หัตถินี|หัสดี|หัสดิน|ไอยรา
ม้า,n,ดุรงค์|ตุรงค์|พาชี|มโนมัย|สินธพ|แสะ|หัย|อัศวะ|อัสสะ|อัสดร|อาชา
วัว,n,โค|คาวี|งัว|พฤษภ|วฤษภ|ฤษภ|วสภะ|อุสภ|อุสุภ|พลิพัท|วัตสดร|มอ|ฉลู
ควาย,n,กาสร|กระบือ|มหิงส์|มหิงสา|มหิษ|ลุลาย
สิงโต,n,เกสรี|ไกรศร|ไกรศรี|ไกรสร|ไกรสรี|เจ้าป่า|พาฬ|ราชสีห์|สิงห์|สิงหราช|สีห์|สีหราช
เสือ,n,ขลา|ขาล|ตะโก|ทวีปี|พยัคฆ์|พยัคฆา|พยัคฆิน|พยัคฆี|พาฬ|ศารทูล|อชินี
ลิง,n,กบิล|กบี่|กบินทร์|กเบนทร์|กระบี่|กปิ|จ๋อ|พลีมุข|วอก|วานร|พานร|วานรินทร์|พานรินทร์|พานเรศ|มักฏะ|สวา|ชรโมล
นก,n,สกุณ|สกุณา|สกุณี|สกุนต์|ศกุน|ศกุนต์|ศกุนิ|ปักษิน|ปักษี|ปักษา|บุหรง|วิหค|วิหงค์|เวหังค์|สุโนก|สรุโนก|ทวิช|ทิชากร|ทวิชาชาติ
นกยูง,n,มยุระ|มยุรี|มยุรา|มยุเรศ|เมารี|โมรี
ปลา,n,มัจฉา|มัสยา|มัจฉาชาติ|มีน|ตรี|ตฤๅ|ปุถุโลม|ชลาศัย|อัมพุช|วาริช|วารีช|วารีชาติ|ชลจร|นีรจร
